No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,434.000.000,Pengembangan
2,AMIN,Ateliers Mecaniques D Indonesi,10 Des 2015,1.080.000.000,Pengembangan
3,APII,Arita Prima Indonesia Tbk.,29 Okt 2013,1.075.760.000,Pengembangan
4,ARNA,Arwana Citramulia Tbk.,17 Jul 2001,7.341.430.976,Utama
5,ASGR,Astra Graphia Tbk.,15 Nov 1989,1.348.780.500,Utama
6,ASII,Astra International Tbk.,04 Apr 1990,40.483.553.140,Utama
7,BHIT,MNC Asia Holding Tbk.,24 Nov 1997,86.068.156.705,Pemantauan Khusus
8,BNBR,Bakrie & Brothers Tbk,28 Agt 1989,173.416.832.509,Pemantauan Khusus
9,CTTH,Citatah Tbk.,03 Jul 1996,1.230.839.821,Pengembangan
10,DYAN,Dyandra Media International Tb,25 Mar 2013,4.272.964.279,Pengembangan
11,HEXA,Hexindo Adiperkasa Tbk.,13 Feb 1995,840.000.000,Utama
12,IBFN,Intan Baru Prana Tbk.,22 Des 2014,1.517.332.349,Pemantauan Khusus
13,ICON,Island Concepts Indonesia Tbk.,08 Jul 2005,1.089.750.000,Pemantauan Khusus
14,IKAI,Intikeramik Alamasri Industri ,04 Jun 1997,13.305.799.387,Pemantauan Khusus
15,IKBI,Sumi Indo Kabel Tbk.,21 Jan 1991,1.224.000.000,Pengembangan
16,IMPC,Impack Pratama Industri Tbk.,17 Des 2014,54.907.000.000,Utama
17,INDX,Tanah Laut Tbk,17 Mei 2001,437.913.588,Pengembangan
18,INTA,Intraco Penta Tbk.,23 Agt 1993,3.343.935.022,Pemantauan Khusus
19,JECC,Jembo Cable Company Tbk.,18 Nov 1992,756.000.000,Pengembangan
20,JTPE,Jasuindo Tiga Perkasa Tbk.,16 Apr 2002,6.852.050.000,Utama
21,KBLI,KMI Wire & Cable Tbk.,06 Jul 1992,4.007.235.107,Utama
22,KBLM,Kabelindo Murni Tbk.,01 Jun 1992,1.120.000.000,Pengembangan
23,KIAS,Keramika Indonesia Assosiasi T,08 Des 1994,14.929.100.000,Pemantauan Khusus
24,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,2.272.500.000,Pengembangan
25,KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,980.843.732,Pemantauan Khusus
26,KONI,Perdana Bangun Pusaka Tbk,22 Agt 1995,312.000.000,Pengembangan
27,LION,Lion Metal Works Tbk.,20 Agt 1993,520.160.000,Pengembangan
28,MDRN,Modern Internasional Tbk.,16 Jul 1991,7.632.167.798,Pemantauan Khusus
29,MFMI,Multifiling Mitra Indonesia Tb,29 Des 2010,757.581.000,Pemantauan Khusus
30,MLIA,Mulia Industrindo Tbk,17 Jan 1994,6.615.000.000,Utama
31,SCCO,Supreme Cable Manufacturing & ,20 Jul 1982,822.333.600,Pengembangan
32,TIRA,Tira Austenite Tbk,27 Jul 1993,588.000.000,Pengembangan
33,TOTO,Surya Toto Indonesia Tbk.,30 Okt 1990,10.320.000.000,Pengembangan
34,TRIL,Triwira Insanlestari Tbk.,28 Jan 2008,1.200.000.000,Pemantauan Khusus
35,UNTR,United Tractors Tbk.,19 Sep 1989,3.730.135.136,Utama
36,VOKS,Voksel Electric Tbk.,20 Des 1990,4.155.602.595,Pengembangan
37,ZBRA,Dosni Roha Indonesia Tbk.,01 Agt 1991,2.510.706.263,Pemantauan Khusus
38,MARK,Mark Dynamics Indonesia Tbk.,12 Jul 2017,3.800.000.310,Utama
39,SPTO,Surya Pertiwi Tbk.,14 Mei 2018,2.700.000.000,Utama
40,SKRN,Superkrane Mitra Utama Tbk.,11 Okt 2018,7.500.000.000,Utama
41,CAKK,Cahayaputra Asa Keramik Tbk.,31 Okt 2018,1.203.300.219,Pengembangan
42,SOSS,Shield On Service Tbk.,06 Nov 2018,799.414.231,Pemantauan Khusus
43,CCSI,Communication Cable Systems In,18 Jun 2019,1.333.333.331,Pengembangan
44,BLUE,Berkah Prima Perkasa Tbk.,08 Jul 2019,418.000.000,Pengembangan
45,ARKA,Arkha Jayanti Persada Tbk.,10 Jul 2019,2.000.000.000,Pemantauan Khusus
46,SINI,Singaraja Putra Tbk.,08 Nov 2019,481.000.000,Pemantauan Khusus
47,HOPE,Harapan Duta Pertiwi Tbk.,24 Mei 2021,2.130.360.203,Pengembangan
48,LABA,Green Power Group Tbk.,10 Jun 2021,1.103.402.553,Pengembangan
49,GPSO,Geoprima Solusi Tbk.,06 Sep 2021,666.741.103,Pengembangan
50,KUAS,Ace Oldfields Tbk.,25 Okt 2021,1.292.808.150,Pengembangan
51,BINO,Perma Plasindo Tbk.,25 Nov 2021,2.275.316.111,Pengembangan
52,NTBK,Nusatama Berkah Tbk.,09 Feb 2022,2.700.064.877,Pengembangan
53,PADA,Personel Alih Daya Tbk.,08 Des 2022,3.150.000.000,Pengembangan
54,KING,Hoffmen Cleanindo Tbk.,16 Feb 2023,2.601.524.713,Akselerasi
55,PTMP,Mitra Pack Tbk.,06 Mar 2023,3.169.200.000,Pengembangan
56,SMIL,Sarana Mitra Luas Tbk.,12 Mei 2023,8.751.668.239,Utama
57,CRSN,Carsurin Tbk.,10 Jul 2023,2.892.000.000,Pengembangan
58,WIDI,Widiant Jaya Krenindo Tbk.,10 Jul 2023,1.600.031.683,Akselerasi
59,FOLK,Multi Garam Utama Tbk.,07 Agt 2023,3.948.141.464,Pemantauan Khusus
60,MUTU,Mutuagung Lestari Tbk.,09 Agt 2023,3.142.950.585,Pengembangan
61,HYGN,Ecocare Indo Pasifik Tbk.,13 Feb 2024,2.525.000.000,Pengembangan
62,VISI,Satu Visi Putra Tbk.,27 Feb 2024,3.075.000.000,Pengembangan
63,MHKI,Multi Hanna Kreasindo Tbk.,16 Apr 2024,3.750.000.000,Pengembangan
64,NAIK,Adiwarna Anugerah Abadi Tbk.,13 Nov 2024,3.327.303.368,Pengembangan
65,PIPA,Multi Makmur Lemindo Tbk.,10 Apr 2023,3.426.097.190,Pengembangan
